drug_name	drug_type	CID/CIDs	Source	therapy_type	action	action_class	approval_status	drugbank_id	synonyms
fluorouracil	small molecule	3385	TCGA|GDSC|CTRPV2	Chemotherapy	Antitumor agent;inhibitor of thymidylate synthase	alkylating related	approved	DB00544	actikerall|carac|efudex|fluoroplex|tolak|5 fluorouracil|fluorouracilum|fluorouracil injection|fluoruracil|fluorouracil--topical|5-Fluorouracil|fluorouracil|51-21-8|5-FU|Fluoroplex|Efudex|Adrucil|Carac|Fluracil|5-fluoropyrimidine-2,4(1H,3H)-dione|Fluoroblastin|Kecimeton|Queroplex|Carzonal|Timazin|Arumel|Efudix|Fluril|5-Fluoracil|Phthoruracil|Fluracilum|Ulup|Fluorouracilum|5-fluoro-1H-pyrimidine-2,4-dione|Fluro Uracil|Ftoruracil|Efurix|Fluri|5-Fluoro-2,4(1H,3H)-pyrimidinedione|5 Fluorouracil|5-Fluoruracil|5-Fluoropyrimidine-2,4-dione|Effluderm (free base)|Fluorouracilo|2,4(1H,3H)-Pyrimidinedione, 5-fluoro-|2,4-Dihydroxy-5-fluoropyrimidine|Uracil, 5-fluoro-|Ro 2-9757|5-fluoropyrimidine-2,4-diol|5-Fluor-2,4-pyrimidindiol|5-fluoro uracil|5-Ftouracyl|NSC 19893|Fluorouracil, 5-|NSC-19893|5-Fluoro-2,4-pyrimidinedione|Fluorouracil (Adrucil)|5-Fluor-2,4-dihydroxypyrimidin|U-8953|5-fluoro-uracil|191047-65-1|Ro-2-9757|UNII-U3P01618RT|FU|CHEMBL185|2,4-Pyrimidinediol, 5-fluoro- (9CI)|MLS000069498|5FU|Fluroblastin|Phtoruracil|CHEBI:46345|Fluoro-uracile|Fluoro-uracilo|U3P01618RT|NSC19893|5-fluoro-1,2,3,4-tetrahydropyrimidine-2,4-dione|5-Faracil|Cinco FU|MFCD00006018|191047-64-0|191115-88-5|URF|NCGC00015442-02|Fluorouracile|Effluderm|SMR000038082|DSSTox_CID_634|Fluorouracile [DCIT]|5-Fluoracil [German]|5-Fluoracyl|5-Fluoruracil [German]|DSSTox_RID_75705|DSSTox_GSID_20634|Fluorouracilum [INN-Latin]|Fluorouracilo [INN-Spanish]|5-Fluoropyrimidin-2,4-diol|2,4-Dioxo-5-fluoropyrimidine|Fluorouracil Cream|CAS-51-21-8|Fluoroplex (TN)|5-Fluor-2,4-pyrimidindiol [Czech]|Adrucil (TN)|CCRIS 2582|Carac (TN)|5-Fluor-2,4-dihydroxypyrimidin [Czech]|HSDB 3228|SR-01000075881|5-Fluor-2,4(1H,3H)-pyrimidindion [Czech]|EINECS 200-085-6|5-Fluor-2,4(1H,3H)-pyrimidindion|Fluorouricil|Fluouracil|inhibits thymilidate synthetase|Tolak|2,4-Dioxo-5-fluoropryimidine|5-fluorourasil|AI3-25297|Fluoro Uracil|5-florouracil|5-fluorouacil|5-FU (TN)|5-Fluracil|1upf|5F-uracil|U 8953|1-fluoro-1h-pyrimidine-2,4-dione|Adrucil (ICN)|Adrucil (Fluorouracil)|Fluorouracil - Adrucil|Fluorouracil [USAN:USP:INN:BAN:JAN]|Spectrum_000841|Opera_ID_134|5-Fluorouracil, 99%|Spectrum2_000076|Spectrum3_000434|Spectrum4_000557|Spectrum5_000718|WLN: T6MVMVJ EF|Lopac-F-6627|F0151|UPCMLD-DP130|EC 200-085-6|F 6627|SCHEMBL3646|5-fluorpyrimidin-2,4-diol|Lopac0_000536|BSPBio_002048|KBioGR_001253|KBioSS_001321|2(1H)-Pyrimidinone, 5-fluoro-4-hydroxy- (9CI)|4(3H)-Pyrimidinone, 5-fluoro-2-hydroxy- (9CI)|MLS002415705|5-fluoro-2,4-Pyrimidinediol|DivK1c_000054|SPECTRUM1500305|SPBio_000291|5 FU|5-fluoro-2,4-dioxo-pyrimidin|5-fluoro-pyrimidine-2,4-diol|GTPL4789|DTXSID2020634|UPCMLD-DP130:001|Fluorouracil (JP17/USP/INN)|HMS500C16|KBio1_000054|KBio2_001321|KBio2_003889|KBio2_006457|KBio3_001268|5-Fluoro-2,3H)-pyrimidinedione|2,4-Pyrimidinedione, 5-fluoro-|NINDS_000054|BCPP000428|HMS1920O18|HMS2090I04|HMS2091F19|HMS3259O03|HMS3261L13|HMS3654K22|HMS3715H03|HMS3865L03|Pharmakon1600-01500305|5-Fluorouracil, analytical standard|BCP02083|2,3H)-Pyrimidinedione, 5-fluoro-|Fluorouracil (5-Fluoracil, 5-FU)|Fluorouracil (5-Fluoracil; 5-FU)|Tox21_110150|Tox21_202335|Tox21_300112|Tox21_500536|BDBM50340677|CCG-39879|DL-399|NSC757036|Ro-29757|s1209|STK297802|STL367375|ZINC38212689|AKOS000119162|AKOS003237897|AKOS008044307|Tox21_110150_1|BCP9000239|CS-0993|DB00544|KS-5129|LP00536|LS40596|MCULE-6338086431|NC00454|NSC-757036|SDCCGSBI-0050519.P005|IDI1_000054|NCGC00015442-01|NCGC00015442-03|NCGC00015442-04|NCGC00015442-05|NCGC00015442-06|NCGC00015442-07|NCGC00015442-08|NCGC00015442-09|NCGC00015442-10|NCGC00015442-11|NCGC00015442-12|NCGC00015442-15|NCGC00015442-16|NCGC00015442-24|NCGC00015442-30|NCGC00091349-01|NCGC00091349-02|NCGC00091349-03|NCGC00091349-04|NCGC00091349-05|NCGC00091349-07|NCGC00091349-08|NCGC00254023-01|NCGC00259884-01|NCGC00261221-01|1004-03-1|5-Fluoro-2,4-(1H,3H)-pyrimidinedione|AC-11201|BF166014|HY-90006|NCI60_001652|SRI-10792-04|SRI-10792-05|SRI-10792-06|SRI-10792_07|SRI-10792_08|5-Fluoro-1H-pyrimidine-2,4-dione(5FU)|5-Fluorouracil, >=99% (HPLC), powder|SBI-0050519.P004|5-Fluoro-1H-pyrimidine-2,4-dione(5-FU)|DB-051923|DB-065735|5-Fluoro-1H-pyrimidine-2,4-dione (5-FU)|AM20100252|EU-0100536|FT-0601511|FT-0668745|FT-0695666|FT-0695667|FT-0707652|SW199617-3|5-Fluoro-1H-pyrimidine-2,4-dione(5-FUra)|Fluorouracil, meets USP testing specifications|51F218|C07649|D00584|5-Fluorouracil, Vetec(TM) reagent grade, >=99%|Q238512|W-60379|(5-fluorouracil)5-Fluoro-1H-pyrimidine-2,4-dione|5-Fluoro-1H-pyrimidine-2,4-dione(5-fluoro uracil)|SR-01000075881-1|SR-01000075881-3|SR-01000075881-5|W-202929|5-Fluoro-1H-pyrimidine-2,4-dione (5-Fluorouracil)|BRD-K24844714-001-02-1|Z275128052|5-Fluoro-1H-pyrimidine-2,4-dione(5-fluorouracil)(5-FU)|5-Fluorouracil, certified reference material, TraceCERT(R)|Fluorouracil, British Pharmacopoeia (BP) Reference Standard|Fluorouracil, European Pharmacopoeia (EP) Reference Standard|Fluorouracil, United States Pharmacopeia (USP) Reference Standard|pyrimidine antimetabolite: inhibits nucleic acid replication; tetratogen|Fluorouracil, Pharmaceutical Secondary Standard; Certified Reference Material
fluorouracil	small molecule	14907381	TCGA|GDSC|CTRPV2	Chemotherapy	Antitumor agent;inhibitor of thymidylate synthase	alkylating related	approved	DB00544	actikerall|carac|efudex|fluoroplex|tolak|5 fluorouracil|fluorouracilum|fluorouracil injection|fluoruracil|fluorouracil--topical|5-Fluorouracil|fluorouracil|51-21-8|5-FU|Fluoroplex|Efudex|Adrucil|Carac|Fluracil|5-fluoropyrimidine-2,4(1H,3H)-dione|Fluoroblastin|Kecimeton|Queroplex|Carzonal|Timazin|Arumel|Efudix|Fluril|5-Fluoracil|Phthoruracil|Fluracilum|Ulup|Fluorouracilum|5-fluoro-1H-pyrimidine-2,4-dione|Fluro Uracil|Ftoruracil|Efurix|Fluri|5-Fluoro-2,4(1H,3H)-pyrimidinedione|5 Fluorouracil|5-Fluoruracil|5-Fluoropyrimidine-2,4-dione|Effluderm (free base)|Fluorouracilo|2,4(1H,3H)-Pyrimidinedione, 5-fluoro-|2,4-Dihydroxy-5-fluoropyrimidine|Uracil, 5-fluoro-|Ro 2-9757|5-fluoropyrimidine-2,4-diol|5-Fluor-2,4-pyrimidindiol|5-fluoro uracil|5-Ftouracyl|NSC 19893|Fluorouracil, 5-|NSC-19893|5-Fluoro-2,4-pyrimidinedione|Fluorouracil (Adrucil)|5-Fluor-2,4-dihydroxypyrimidin|U-8953|5-fluoro-uracil|191047-65-1|Ro-2-9757|UNII-U3P01618RT|FU|CHEMBL185|2,4-Pyrimidinediol, 5-fluoro- (9CI)|MLS000069498|5FU|Fluroblastin|Phtoruracil|CHEBI:46345|Fluoro-uracile|Fluoro-uracilo|U3P01618RT|NSC19893|5-fluoro-1,2,3,4-tetrahydropyrimidine-2,4-dione|5-Faracil|Cinco FU|MFCD00006018|191047-64-0|191115-88-5|URF|NCGC00015442-02|Fluorouracile|Effluderm|SMR000038082|DSSTox_CID_634|Fluorouracile [DCIT]|5-Fluoracil [German]|5-Fluoracyl|5-Fluoruracil [German]|DSSTox_RID_75705|DSSTox_GSID_20634|Fluorouracilum [INN-Latin]|Fluorouracilo [INN-Spanish]|5-Fluoropyrimidin-2,4-diol|2,4-Dioxo-5-fluoropyrimidine|Fluorouracil Cream|CAS-51-21-8|Fluoroplex (TN)|5-Fluor-2,4-pyrimidindiol [Czech]|Adrucil (TN)|CCRIS 2582|Carac (TN)|5-Fluor-2,4-dihydroxypyrimidin [Czech]|HSDB 3228|SR-01000075881|5-Fluor-2,4(1H,3H)-pyrimidindion [Czech]|EINECS 200-085-6|5-Fluor-2,4(1H,3H)-pyrimidindion|Fluorouricil|Fluouracil|inhibits thymilidate synthetase|Tolak|2,4-Dioxo-5-fluoropryimidine|5-fluorourasil|AI3-25297|Fluoro Uracil|5-florouracil|5-fluorouacil|5-FU (TN)|5-Fluracil|1upf|5F-uracil|U 8953|1-fluoro-1h-pyrimidine-2,4-dione|Adrucil (ICN)|Adrucil (Fluorouracil)|Fluorouracil - Adrucil|Fluorouracil [USAN:USP:INN:BAN:JAN]|Spectrum_000841|Opera_ID_134|5-Fluorouracil, 99%|Spectrum2_000076|Spectrum3_000434|Spectrum4_000557|Spectrum5_000718|WLN: T6MVMVJ EF|Lopac-F-6627|F0151|UPCMLD-DP130|EC 200-085-6|F 6627|SCHEMBL3646|5-fluorpyrimidin-2,4-diol|Lopac0_000536|BSPBio_002048|KBioGR_001253|KBioSS_001321|2(1H)-Pyrimidinone, 5-fluoro-4-hydroxy- (9CI)|4(3H)-Pyrimidinone, 5-fluoro-2-hydroxy- (9CI)|MLS002415705|5-fluoro-2,4-Pyrimidinediol|DivK1c_000054|SPECTRUM1500305|SPBio_000291|5 FU|5-fluoro-2,4-dioxo-pyrimidin|5-fluoro-pyrimidine-2,4-diol|GTPL4789|DTXSID2020634|UPCMLD-DP130:001|Fluorouracil (JP17/USP/INN)|HMS500C16|KBio1_000054|KBio2_001321|KBio2_003889|KBio2_006457|KBio3_001268|5-Fluoro-2,3H)-pyrimidinedione|2,4-Pyrimidinedione, 5-fluoro-|NINDS_000054|BCPP000428|HMS1920O18|HMS2090I04|HMS2091F19|HMS3259O03|HMS3261L13|HMS3654K22|HMS3715H03|HMS3865L03|Pharmakon1600-01500305|5-Fluorouracil, analytical standard|BCP02083|2,3H)-Pyrimidinedione, 5-fluoro-|Fluorouracil (5-Fluoracil, 5-FU)|Fluorouracil (5-Fluoracil; 5-FU)|Tox21_110150|Tox21_202335|Tox21_300112|Tox21_500536|BDBM50340677|CCG-39879|DL-399|NSC757036|Ro-29757|s1209|STK297802|STL367375|ZINC38212689|AKOS000119162|AKOS003237897|AKOS008044307|Tox21_110150_1|BCP9000239|CS-0993|DB00544|KS-5129|LP00536|LS40596|MCULE-6338086431|NC00454|NSC-757036|SDCCGSBI-0050519.P005|IDI1_000054|NCGC00015442-01|NCGC00015442-03|NCGC00015442-04|NCGC00015442-05|NCGC00015442-06|NCGC00015442-07|NCGC00015442-08|NCGC00015442-09|NCGC00015442-10|NCGC00015442-11|NCGC00015442-12|NCGC00015442-15|NCGC00015442-16|NCGC00015442-24|NCGC00015442-30|NCGC00091349-01|NCGC00091349-02|NCGC00091349-03|NCGC00091349-04|NCGC00091349-05|NCGC00091349-07|NCGC00091349-08|NCGC00254023-01|NCGC00259884-01|NCGC00261221-01|1004-03-1|5-Fluoro-2,4-(1H,3H)-pyrimidinedione|AC-11201|BF166014|HY-90006|NCI60_001652|SRI-10792-04|SRI-10792-05|SRI-10792-06|SRI-10792_07|SRI-10792_08|5-Fluoro-1H-pyrimidine-2,4-dione(5FU)|5-Fluorouracil, >=99% (HPLC), powder|SBI-0050519.P004|5-Fluoro-1H-pyrimidine-2,4-dione(5-FU)|DB-051923|DB-065735|5-Fluoro-1H-pyrimidine-2,4-dione (5-FU)|AM20100252|EU-0100536|FT-0601511|FT-0668745|FT-0695666|FT-0695667|FT-0707652|SW199617-3|5-Fluoro-1H-pyrimidine-2,4-dione(5-FUra)|Fluorouracil, meets USP testing specifications|51F218|C07649|D00584|5-Fluorouracil, Vetec(TM) reagent grade, >=99%|Q238512|W-60379|(5-fluorouracil)5-Fluoro-1H-pyrimidine-2,4-dione|5-Fluoro-1H-pyrimidine-2,4-dione(5-fluoro uracil)|SR-01000075881-1|SR-01000075881-3|SR-01000075881-5|W-202929|5-Fluoro-1H-pyrimidine-2,4-dione (5-Fluorouracil)|BRD-K24844714-001-02-1|Z275128052|5-Fluoro-1H-pyrimidine-2,4-dione(5-fluorouracil)(5-FU)|5-Fluorouracil, certified reference material, TraceCERT(R)|Fluorouracil, British Pharmacopoeia (BP) Reference Standard|Fluorouracil, European Pharmacopoeia (EP) Reference Standard|Fluorouracil, United States Pharmacopeia (USP) Reference Standard|pyrimidine antimetabolite: inhibits nucleic acid replication; tetratogen|Fluorouracil, Pharmaceutical Secondary Standard; Certified Reference Material
cyclophosphamide	small molecule	2907	TCGA|GDSC|CTRPV2	Chemotherapy	Cyclophosphamide is a frequently used chemotherapy, often in combination with other chemotherapy types, for the treatment of breast cancer, malignant lymphomas, multiple myeloma, and neuroblastoma	alkylating related	approved	DB00531	cyclophosphane|neosar|cytoxan|cyclophosphamide|cyclophosphamidum|50-18-0|Cyclophosphamid|Cytoxan|Cyclophosphane|Neosar|Cytophosphan|Procytox|Clafen|Endoxan|Cyclophosphan|Cyclostin|Sendoxan|Cyclophosphamidum|Cytophosphane|Claphene|Endoxana|Endoxanal|Genoxal|Endoxan-Asta|Endoxan R|Zyklophosphamid|Mitoxan|(RS)-Cyclophosphamide|Cyclophosphoramide|Cyklofosfamid|Endoxane|Enduxan|Semdoxan|Senduxan|(+-)-Cyclophosphamide|Cyclophosphamide anhydrous|Cyclophosphanum|Rcra waste number U058|Asta B 518|2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide|NSC 26271|Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester|B 518|CB 4564|Cycloblastin|NCI-C04900|SK 20501|Cyclofosphamide|CHEBI:4027|N,N-Bis(2-chloroethyl)-1,3,2-oxazaphosphinan-2-amine 2-oxide|NSC-26271|(-)-Cyclophosphamide|UNII-6UXW23996M|N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide|NSC26271|Cytoxan (TN)|50-18-0 (anhydrous)|2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide|Ciclophosphamide|2-(Bis(2-chloroethyl)amino)-2H-1,3,2-oxazaphosphorine 2-oxide|6UXW23996M|N,N-Bis(2-chloroethyl)-N',O-propylenephosphoric acid ester diamide|N,N-Di(2-chloroethyl)-N,O-propylene-phosphoric acid ester diamide|Ciclofosfamide|2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-,2-oxide|Phosphorodiamidic acid, N,N-bis(2-chloroethyl)-N'-(3-hydroxypropyl)-, intramol. ester|Lyophilized Cytoxan|CY|Cyclophosphamide-d4|Ciclofosfamida|D,L-Cyclophosphamide|ASTA|Cyklofosfamid [Czech]|N,N-bis(2-chloroethyl)-2-oxo-1,3,2$l^{5}-oxazaphosphinan-2-amine|Ciclophosphamide [INN]|Zyklophosphamid [German]|Cyclophosphamide (anhydrous)|ASTA B518|Ciclofosfamida [INN-Spanish]|Cyclophosphamidum [INN-Latin]|Occupation, cyclophosphamide exposure|CCRIS 188|4-Hydroxy-cyclophosphan-mamophosphatide|Cyclophosphamide (anhydrous form)|Cyclophosphamide (TN)|HSDB 3047|NSC-756711|Cyclophosphamide (INN)|SR-01000075737|NCGC00015209-05|EINECS 200-015-4|RCRA waste no. U058|BRN 0011744|Cyclophosphamide [USP:INN]|2-(Bis(2-chloroethyl)amino)-2H-1,2-oxazaphosphorine 2-oxide|2-[Bis(2-chloroethyl)amino]-2H-1,2-oxazaphosphorine 2-oxide|1-Bis(2-chloroethyl)amino-1-oxo-2-aza-5-oxaphosphoridin|AI3-26198|(Bis(chloro-2-ethyl)amino)-2-tetrahydro-3,5,6-oxazaphosphorine-1,3,2-oxide-2 hydrate|[Bis(chloro-2-ethyl)amino]-2-tetrahydro-3,5,6-oxazaphosphorine-1,3,2-oxide-2 hydrate|173547-45-0|CB-4564|Cyclophosphamide-[d4]|Spectrum_000858|Anhydrous cyclophosphamide|CHEMBL88|Spectrum2_001146|Spectrum3_000370|Spectrum4_000304|Spectrum5_000795|Lopac-C-0768|N,N-Bis(beta-chloroethyl)-N',O-propylenephosphoric acid ester diamide|N,N-Bis(beta-chloroethyl)-N',O-trimethylenephosphoric acid ester diamide|Epitope ID:131782|2-(Bis(2-chloroethyl)amino)tetrahydro-2H-1,3,2-oxazophosphorine 2-oxide|C 0768|N,N-Bis-(beta-chloraethyl)-N',O-propylen-phosphorsaeure-ester-diamid [German]|SCHEMBL4346|(.+/-.)-Cyclophosphamide|Lopac0_000238|BSPBio_002099|KBioGR_000888|KBioSS_001338|DivK1c_000246|SPBio_001071|GTPL7154|SCHEMBL4345553|DTXSID5020364|SCHEMBL10262910|CMSMOCZEIVJLDB-UHFFFAOYSA-|KBio1_000246|KBio2_001338|KBio2_003906|KBio2_006474|KBio3_001319|CYCLOPHOSPAMIDE MONOHYDRATE|WLN: T6MPOTJ BO BN2G2G|NINDS_000246|2-(bis(2-chloroethyl)amino)-1,3,2-oxazaphosphinane 2-oxide|HMS2090A12|HMS3260P17|HMS3715J05|Pharmakon1600-01500213|AMY33449|BCP02139|Tox21_500238|2-CHLORO-5-METHYLBENZANILIDE|BDBM50237604|N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine|N,N-Bis-(beta-chloraethyl)-N',O-propylen-phosphorsaeure-ester-diamid|NSC273033|NSC273034|NSC756711|STK177249|2H-1,3,2-Oxazaphosphorine, 2-(bis(2-chloroethyl)amino)tetrahydro-, 2-oxide|AKOS005410738|CS-1425|DB00531|LP00238|MCULE-5327530727|NSC-273033|NSC-273034|SDCCGSBI-0050226.P004|IDI1_000246|N,3,2-oxazaphosphorin-2-amine-2-oxide|N,O-propylen-phosphorsaeure-ester-diamid|NCGC00015209-01|NCGC00015209-02|NCGC00015209-03|NCGC00015209-04|NCGC00015209-06|NCGC00015209-07|NCGC00015209-08|NCGC00015209-09|NCGC00015209-12|NCGC00015209-28|NCGC00091741-02|NCGC00091741-03|NCGC00260923-01|AS-73255|BP-25411|HY-17420|NCI60_002097|N,O-propylenephosphoric acid ester diamide|SBI-0050226.P003|DB-082057|N,O-propylene-phosphoric acid ester diamide|A2343|EU-0100238|FT-0624276|FT-0665387|N,O-trimethylenephosphoric acid ester diamide|EN300-74526|C07888|D07760|AB00053446-09|AB00053446-11|AB00053446-12|AB00053446_13|AB00053446_14|AB00053446_15|005C978|Q408524|W-60377|N,O-propylenephosphoric acid ester amide monohydrate|SR-01000075737-1|SR-01000075737-6|W-105248|BRD-A09722536-002-02-4|UNII-6UXW23996M component CMSMOCZEIVJLDB-CQSZACIVSA-N|2-[bis(2-chloroethyl)amino]-1,3,2??-oxazaphosphinan-2-one|2-[bis(2-chloroethyl)amino]-1,3,2$l^{5}-oxazaphosphinan-2-one|N,N-Bis(2-chloroethyl)-1,3,2-oxazaphosphinan-2-amine 2-oxide #|2-(Di(2-chloroethyl)amino)-2-phospha(V)-tetrahydro-2H-1,3-oxazine-2-one|2-[Bis(2-chloroethyl)amino]tetrahydro-1,3,2-oxazaphosphorin-2-oxide|2H-1,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide|2H-1,3,2-Oxazaphosphorine, 2-(bis(2-chloroethyl)amino)tetrahydro-,2-oxide|N,N-Bis(.beta.-chloroethyl)-N',O-trimethylenephosphoric acid ester diamide|N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine-2-oxide|N,N-Bis-(.beta.-chloraethyl)-N',O-propylen-phosphorsaeure-ester-diamid|(+/-)-2-[Bis(2-chloroethyl)amino]tetrahydro-2 H-1,3,2-oxazaphosphorine 2-oxide|(R)-2-[Bis(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazaphosphorin 2-oxide|(S)-2-[Bis(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazaphosphorine 2-oxide|2H-1,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide|2H-1,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide, (+)-|2H-1,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide, (-)-|2H-1,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate|N,N-bis(2-chloroethyl)-2-oxo-1-oxa-3-aza-2$l^{5}-phosphacyclohexan-2-amine|Phosphorodiamidic acid,N-bis(2-chloroethyl)-N'-(3-hydroxypropyl)-, intramol. ester
methotrexate	small molecule	126941	TCGA|GDSC|CTRPV2	Chemotherapy	Folate antagonist,inhibits DFHR	alkylating related	approved	DB00563	metoject|nordimet|otrexup|rasuvo|reditrex|trexall|xatmep
gemcitabine	small molecule	60750	TCGA|GDSC|CTRPV2	Chemotherapy	inhibitor of DNA synthesis	alkylating related	approved	DB00441	infugem|gemzar|ly188011|ly-188011|nsc-613327|gemcitabine injection|gemcitabine hydrochloride
docetaxel	small molecule	148124	TCGA|GDSC|CTRPV2	Chemotherapy	Microtubulin disassembly inhibitor	alkylating related	approved	DB01248	taxotere|rp-56976|doxetaxel
mitomycin	small molecule	5746	TCGA|GDSC|CTRPV2	Chemotherapy	Mitomycin A is a bacterial metabolite originally isolated from S.	alkylating related	approved	DB00305	mitomycin-c|mitomycin c
etoposide	small molecule	36462	TCGA|GDSC|CTRPV2	Chemotherapy	Topo II inhibitor	alkylating related	approved	DB00773	vepesid|vp-16|etopophos|toposar|vepesid|etopside|vp-16-213|sintopozid|etoposide resolution mixture|etoposidum|nsc-141540
topotecan	small molecule	60700	TCGA|GDSC|CTRPV2	Chemotherapy	Topoisomerase 1 inhibitor	alkylating related	approved	DB01030	topotecan hydrochloride
teniposide	small molecule	452548	TCGA|GDSC|CTRPV2	Chemotherapy	Topoisomerase inhibitor	alkylating related	approved	DB00444	
busulfan	small molecule	2478		Chemotherapy	a DNA alkylating agent	alkylating related	approved	DB01008	busulfan|55-98-1|Myleran|Busulphan|Sulphabutin|Leucosulfan|Myelosan|Busulfex|Citosulfan|Mielucin|Misulban|Mitostan|Myeloleukon|Mylecytan|Sulfabutin|Mablin|Mielevcin|Milecitan|Mielosan|Mileran|butane-1,4-diyl dimethanesulfonate|Buzulfan|1,4-Dimesyloxybutane|1,4-BUTANEDIOL DIMETHANESULFONATE|Myeleukon|Busulfanum|Myelosanum|1,4-Dimethanesulfonoxybutane|Tetramethylene dimethane sulfonate|1,4-Butanediol, dimethanesulfonate|Busulfano|Busulphane|1,4-Dimethylsulfonyloxybutane|1,4-Dimethanesulfonyloxybutane|1,4-Bis(methanesulfonoxy)butane|1,4-Butanediol dimethylsulfonate|1,4-Dimethylsulfonoxybutane|1,4-Bis(methanesulfonyloxy)butane|GT 41|NCI-C01592|4-methylsulfonyloxybutyl methanesulfonate|CB 2041|AN 33501|Methanesulfonic acid, tetramethylene ester|Tetramethylene bis(methanesulfonate)|1,4-Dimethanesulphonyloxybutane|NSC 750|NSC-750|1,4-Butanediol dimethanesulphonate|Tetramethylenester kyseliny methansulfonove|C.B. 2041|X 149|GT 2041|Tetramethylene bis[methanesulfonate]|UNII-G1LN9045DK|NSC750|1,4-Bis[methanesulfonoxy]butane|CHEBI:28901|2041 C. B.|G.T. 41|G1LN9045DK|4-(methanesulfonyloxy)butyl methanesulfonate|MFCD00007562|NCGC00090905-06|Busilvex|Mitosan|DSSTox_CID_910|Busulfanum [INN-Latin]|DSSTox_RID_75857|Busulfano [INN-Spanish]|DSSTox_GSID_20910|Methanesulfonic|C6H14O6S2|CAS-55-98-1|CCRIS 418|SR-01000765405|EINECS 200-250-2|BRN 1791786|Bisulfex|AI3-25012|Busulfan;|Busulfan/Myleran|Busulfan solution|Busulfex IV|Busulfan [USP:INN:BAN:JAN]|HSDB 7605|Tetramethylenester kyseliny methansulfonove [Czech]|Prestwick_989|Tetramethylene {bis[methanesulfonate]}|Spectrum_000092|2041 C.B.|Spectrum2_000067|Spectrum3_000320|Spectrum4_000259|Spectrum5_000928|CHEMBL820|NCIMech_000192|SCHEMBL4373|WLN: WS1&O4OSW1|BSPBio_001920|KBioGR_000698|KBioSS_000512|MLS001076666|Busulfan (Myleran, Busulfex)|DivK1c_000847|SPECTRUM1500152|Busulfan (JP17/USP/INN)|SPBio_000253|GTPL7136|DTXSID3020910|COVZYZSDYWQREU-UHFFFAOYSA-|HMS502K09|KBio1_000847|KBio2_000512|KBio2_003080|KBio2_005648|KBio3_001420|NINDS_000847|HMS1920I07|HMS2091O09|HMS2233H04|HMS3259G15|HMS3370E11|HMS3655A21|HMS3712A20|Pharmakon1600-01500152|AMY33355|HY-B0245|ZINC1530572|Tox21_111038|Tox21_201848|Tox21_300318|1, {4-Bis[methanesulfonoxy]butane}|2041CB|AC-198|BDBM50237623|CCG-35458|NSC755916|s1692|AKOS003614975|Tox21_111038_1|DB01008|KS-5212|MCULE-1840882522|NC00498|NSC-755916|IDI1_000847|NCGC00090905-01|NCGC00090905-02|NCGC00090905-03|NCGC00090905-04|NCGC00090905-05|NCGC00090905-07|NCGC00090905-08|NCGC00090905-09|NCGC00090905-10|NCGC00090905-11|NCGC00090905-12|NCGC00254038-01|NCGC00259397-01|NCI60_041640|O994|SMR000058613|SBI-0051300.P003|FT-0623291|FT-0663910|SW198555-3|C06862|D00248|D88731|4-[(Methylsulfonyl)oxy]butyl methanesulfonate #|AB00051929-10|AB00051929-11|AB00051929_12|AB00051929_14|Busulfan, analytical standard, for drug analysis|Q348922|SR-01000765405-2|SR-01000765405-3|SR-01000765405-7|Busulfan, European Pharmacopoeia (EP) Reference Standard|Z276508890|129316-96-7
cladribine	small molecule	20279		Chemotherapy	protein inhibitor,Apoptosis inducer in CLL cells	alkylating related	approved	DB00242	
arsenic trioxide	small molecule	14888		Chemotherapy		alkylating related	approved	DB01169	
bendamustine hydrochloride	small molecule	77082		Chemotherapy		alkylating related	approved	DB06769	
daunorubicin	small molecule	30323		Chemotherapy		alkylating related	approved	DB00694	cerubidine|vyxeos|rubidomycin
daunorubicin hydrochloride	small molecule	133611884		Chemotherapy		alkylating related	approved		
mercaptopurine	small molecule	667490		Chemotherapy		alkylating related	approved	DB01033	Mercaptopurina|Mercaptopurine|Mercaptopurinum|Mercapurin|PHARMACOLOGY
